SPEEDELEC Booster; 35; 10900; FALSE; 13200; green; 1279
FOLDING BIKE FOLDING BIKE Trinx; 20; 24; 10700; FALSE; pink; 855
FOLDING BIKE FOLDING BIKE Cayman; 16; 27; 8500; FALSE; orange; 735
E-BIKE E-Motion; 50; 26500; FALSE; 8000; yellow; 2145
E-BIKE Gazelle; 55; 20800; FALSE; 14000; violet; 1805
SPEEDELEC Speedelec Minirider; 10; 7600; FALSE; 6300; silver; 125
FOLDING BIKE FOLDING BIKE Polygon; 20; 8; 15600; FALSE; orange; 1285
FOLDING BIKE FOLDING BIKE SkyBike; 24; 27; 16200; FALSE; orange; 505
SPEEDELEC Speedelec Minirider; 25; 15900; FALSE; 14200; pink; 299
SPEEDELEC Smart; 10; 15000; FALSE; 7200; olive; 455
FOLDING BIKE FOLDING BIKE West Bike; 14; 9; 11500; FALSE; golden; 1075
SPEEDELEC ITrike; 25; 14500; FALSE; 5600; marine; 259
SPEEDELEC Maraton; 40; 15000; FALSE; 7500; golden; 269
SPEEDELEC Speedelec Minirider; 15; 10000; FALSE; 13900; coral; 855
FOLDING BIKE FOLDING BIKE Intertool; 26; 21; 11700; FALSE; violet; 689
SPEEDELEC ITrike; 55; 15000; FALSE; 14500; emerald; 945
FOLDING BIKE FOLDING BIKE Make Bike; 24; 1; 16300; FALSE; grenadine; 1249
SPEEDELEC Smart; 65; 17800; FALSE; 13300; khaki; 985
SPEEDELEC ITrike; 60; 18700; FALSE; 7000; blue; 1109
FOLDING BIKE FOLDING BIKE Comanche; 16; 21; 16500; FALSE; lemon; 1015
E-BIKE Rover; 45; 27300; FALSE; 12000; grenadine; 2799
FOLDING BIKE FOLDING BIKE Crosser; 24; 3; 16000; FALSE; marine; 1129
FOLDING BIKE FOLDING BIKE Titan; 26; 1; 13800; FALSE; blue; 1655
FOLDING BIKE FOLDING BIKE Polygon; 18; 7; 8200; FALSE; rose; 1005
FOLDING BIKE FOLDING BIKE Cayman; 26; 1; 16300; FALSE; khaki; 605
FOLDING BIKE FOLDING BIKE Trinx; 26; 3; 8400; FALSE; flame; 455
E-BIKE Xiaomi; 65; 26300; FALSE; 29000; yellow; 3489
SPEEDELEC Ultron; 25; 16000; FALSE; 10400; violet; 909
SPEEDELEC Peugeot; 20; 9900; FALSE; 2500; orange; 809
SPEEDELEC Speedway; 45; 7100; FALSE; 9700; red; 615
SPEEDELEC Maraton; 20; 19800; FALSE; 15900; silver; 1215
FOLDING BIKE FOLDING BIKE Titan; 14; 9; 13100; FALSE; orange; 1055
FOLDING BIKE FOLDING BIKE Comanche; 20; 27; 11700; FALSE; yellow; 1349
FOLDING BIKE FOLDING BIKE Crosser; 24; 6; 9500; FALSE; lemon; 1675
E-BIKE Farad; 25; 20700; FALSE; 13000; blue; 2355
E-BIKE Xiaomi; 65; 22100; FALSE; 11000; dark gray; 1905
SPEEDELEC Ultron; 35; 7600; FALSE; 3900; grenadine; 1179
SPEEDELEC Dualtron; 35; 12900; FALSE; 9900; grey; 379
SPEEDELEC AirWheel; 45; 9900; FALSE; 11400; grenadine; 469
E-BIKE Zaxboard; 30; 20300; FALSE; 30000; yellow; 1975
E-BIKE Rover; 20; 21400; FALSE; 16000; flame; 1659
FOLDING BIKE FOLDING BIKE Brompton; 20; 6; 9600; FALSE; orange; 885
E-BIKE ION; 20; 20200; FALSE; 20000; grey; 1989
E-BIKE Zaxboard; 30; 22500; FALSE; 28000; pink; 3345
FOLDING BIKE FOLDING BIKE West Bike; 18; 18; 15700; FALSE; lemon; 339
SPEEDELEC Speedelec Minirider; 55; 6900; FALSE; 3800; yellow; 685
E-BIKE Gazelle; 35; 24700; FALSE; 22000; brown; 3219
SPEEDELEC Xiaomi; 35; 15300; FALSE; 11700; beige; 1269
FOLDING BIKE FOLDING BIKE Make Bike; 16; 18; 8900; FALSE; orange; 1109
E-BIKE Zaxboard; 65; 23300; FALSE; 16000; grenadine; 1275
E-BIKE Ferrari; 25; 21900; FALSE; 15000; green; 1689
FOLDING BIKE FOLDING BIKE Crosser; 20; 9; 9500; FALSE; rose; 979
E-BIKE Mercedes; 50; 24200; FALSE; 21000; orange; 3459
SPEEDELEC Ultron; 40; 11900; FALSE; 7100; white; 1305
FOLDING BIKE FOLDING BIKE Trinx; 18; 18; 9600; FALSE; yellow; 359
SPEEDELEC ITrike; 60; 19600; FALSE; 9800; red; 1385
SPEEDELEC ITrike; 60; 13200; FALSE; 13800; orange; 475
FOLDING BIKE FOLDING BIKE VNV; 26; 3; 14600; FALSE; beige; 715
FOLDING BIKE FOLDING BIKE Dahon; 24; 21; 9000; FALSE; dark gray; 485
E-BIKE Mando Footloose; 40; 21500; FALSE; 28000; white; 1815
E-BIKE Ferrari; 30; 19200; FALSE; 9000; beige; 3059
SPEEDELEC Ultron; 30; 20300; FALSE; 14800; green; 299
FOLDING BIKE FOLDING BIKE Polygon; 16; 24; 11100; FALSE; lemon; 1379
E-BIKE Farad; 65; 28500; FALSE; 25000; grenadine; 3385
SPEEDELEC Dualtron; 50; 16100; FALSE; 2600; violet; 1645
FOLDING BIKE FOLDING BIKE Flex; 24; 21; 12400; FALSE; silver; 1559
E-BIKE Zaxboard; 45; 24300; FALSE; 23000; marine; 1535
FOLDING BIKE FOLDING BIKE Kross; 18; 6; 8800; FALSE; golden; 379
FOLDING BIKE FOLDING BIKE Dahon; 20; 3; 8000; FALSE; lemon; 779
E-BIKE Porshe Design; 50; 28100; FALSE; 13000; pink; 755
FOLDING BIKE FOLDING BIKE Author; 24; 27; 13200; FALSE; flame; 325
FOLDING BIKE FOLDING BIKE BMW; 18; 27; 10600; FALSE; dark gray; 1549
E-BIKE Rover; 20; 26100; FALSE; 29000; grenadine; 2219
E-BIKE Felt; 20; 19300; FALSE; 16000; flame; 2745
SPEEDELEC E-Scooter; 35; 9700; FALSE; 11500; yellow; 559
SPEEDELEC Maraton; 65; 16300; FALSE; 12100; red; 1499
SPEEDELEC Xiaomi; 55; 9500; FALSE; 12500; golden; 779
E-BIKE Haibike; 60; 25700; FALSE; 8000; golden; 1299
E-BIKE E-Motion; 35; 25700; FALSE; 16000; blue; 3399
E-BIKE ElectrO; 20; 19100; FALSE; 30000; dark gray; 3259
SPEEDELEC Aest; 55; 21800; FALSE; 8400; blue; 359
E-BIKE ElectrO; 50; 22600; FALSE; 22000; emerald; 2205
FOLDING BIKE FOLDING BIKE Brompton; 20; 7; 8000; FALSE; dark gray; 999
SPEEDELEC Dualtron; 25; 21900; FALSE; 6500; silver; 1419
E-BIKE Zaxboard; 25; 26200; FALSE; 22000; silver; 705
FOLDING BIKE FOLDING BIKE Polygon; 16; 21; 16800; FALSE; khaki; 295
FOLDING BIKE FOLDING BIKE Author; 14; 9; 9100; FALSE; lemon; 529
SPEEDELEC Segway; 25; 16800; FALSE; 2200; silver; 929
SPEEDELEC Speedway; 35; 18400; FALSE; 11900; grey; 339
FOLDING BIKE FOLDING BIKE Titan; 24; 6; 14400; FALSE; khaki; 359
E-BIKE E-Motion; 40; 19100; FALSE; 26000; khaki; 1015
SPEEDELEC Dualtron; 25; 10000; FALSE; 9100; brown; 1279
SPEEDELEC Booster; 20; 15000; FALSE; 10300; orange; 399
FOLDING BIKE FOLDING BIKE Cayman; 26; 18; 8600; FALSE; brown; 389
E-BIKE Rover; 60; 27300; FALSE; 11000; red; 1155
SPEEDELEC E-Scooter; 25; 9700; FALSE; 14700; beige; 939
FOLDING BIKE FOLDING BIKE Trinx; 24; 3; 8800; FALSE; rose; 699
FOLDING BIKE FOLDING BIKE Brompton; 26; 7; 15100; FALSE; golden; 255
FOLDING BIKE FOLDING BIKE Dahon; 24; 18; 9000; FALSE; red; 1505
E-BIKE Ferrari; 65; 27300; FALSE; 18000; rose; 1675
E-BIKE Scott; 20; 27100; FALSE; 20000; black; 2565
E-BIKE Porshe Design; 65; 28600; FALSE; 11000; yellow; 1085
FOLDING BIKE FOLDING BIKE Flex; 16; 18; 12500; FALSE; grenadine; 905
E-BIKE Ecofect; 45; 24500; FALSE; 27000; yellow; 2929
E-BIKE Xiaomi; 50; 26400; FALSE; 15000; red; 679
FOLDING BIKE FOLDING BIKE Stern; 26; 24; 11200; FALSE; black; 339
FOLDING BIKE FOLDING BIKE Intertool; 24; 9; 10600; FALSE; blue; 725
E-BIKE Felt; 60; 22400; FALSE; 25000; violet; 719
SPEEDELEC Ultron; 20; 8100; FALSE; 3800; black; 779
FOLDING BIKE FOLDING BIKE Benetti; 20; 27; 15100; FALSE; lemon; 1095
SPEEDELEC EcoRide; 50; 19500; FALSE; 11100; green; 449
FOLDING BIKE FOLDING BIKE Cayman; 26; 18; 12500; FALSE; coral; 1185
E-BIKE SkyBike; 30; 22800; FALSE; 19000; red; 3305
SPEEDELEC EcoRide; 15; 7200; FALSE; 11200; green; 1135
SPEEDELEC ITrike; 35; 18900; FALSE; 7600; flame; 1235
FOLDING BIKE FOLDING BIKE Dahon; 16; 1; 12100; FALSE; grey; 799
E-BIKE Porshe Design; 35; 20100; FALSE; 25000; dark gray; 759
FOLDING BIKE FOLDING BIKE Dahon; 20; 18; 16500; FALSE; olive; 1215
FOLDING BIKE FOLDING BIKE Formula; 24; 8; 10300; FALSE; silver; 619
FOLDING BIKE FOLDING BIKE Intertool; 24; 9; 13300; FALSE; silver; 529
FOLDING BIKE FOLDING BIKE Formula; 16; 6; 16900; FALSE; golden; 445
FOLDING BIKE FOLDING BIKE Make Bike; 26; 27; 8100; FALSE; red; 305
E-BIKE Mando Footloose; 20; 22000; FALSE; 16000; blue; 2539
SPEEDELEC E-Scooter; 30; 10500; FALSE; 9200; emerald; 155
E-BIKE Xiaomi; 20; 28900; FALSE; 31000; khaki; 1739
E-BIKE Felt; 35; 22800; FALSE; 13000; beige; 1975
E-BIKE Farad; 35; 27000; FALSE; 12000; blue; 1579
SPEEDELEC Smart; 45; 8500; FALSE; 12400; yellow; 545
SPEEDELEC Ultron; 65; 21600; FALSE; 4800; silver; 599
SPEEDELEC Smart; 45; 21100; FALSE; 6200; violet; 339
E-BIKE Ecofect; 30; 21000; FALSE; 10000; orange; 2479
E-BIKE SkyBike; 65; 23200; FALSE; 31000; khaki; 675
E-BIKE Scott; 30; 28000; FALSE; 31000; olive; 1125
SPEEDELEC Dualtron; 15; 16900; FALSE; 7500; black; 225
FOLDING BIKE FOLDING BIKE SkyBike; 16; 9; 14800; FALSE; yellow; 1049
FOLDING BIKE FOLDING BIKE Dahon; 20; 1; 13100; FALSE; grenadine; 1329
FOLDING BIKE FOLDING BIKE Crosser; 20; 1; 14800; FALSE; white; 395
E-BIKE Ecofect; 25; 26400; FALSE; 17000; silver; 1145
FOLDING BIKE FOLDING BIKE Dahon; 24; 7; 10900; FALSE; violet; 1515
E-BIKE Gazelle; 25; 28900; FALSE; 12000; red; 2129
E-BIKE ION; 45; 23500; FALSE; 24000; pink; 739
E-BIKE GoCycle; 65; 25200; FALSE; 26000; dark gray; 2829
E-BIKE Mando Footloose; 55; 20600; FALSE; 21000; coral; 1385
E-BIKE SkyBike; 55; 25900; FALSE; 9000; silver; 3239
FOLDING BIKE FOLDING BIKE Crosser; 20; 18; 13800; FALSE; khaki; 249
E-BIKE Gazelle; 55; 23800; FALSE; 22000; marine; 3375
SPEEDELEC Dualtron; 65; 6600; FALSE; 6300; grenadine; 1435
FOLDING BIKE FOLDING BIKE Polygon; 24; 3; 14000; FALSE; khaki; 639
FOLDING BIKE FOLDING BIKE Dahon; 26; 27; 12600; FALSE; beige; 1025
SPEEDELEC Speedway; 30; 13200; FALSE; 15600; brown; 1575
FOLDING BIKE FOLDING BIKE Benetti; 20; 6; 16000; FALSE; dark gray; 289
FOLDING BIKE FOLDING BIKE Benetti; 20; 21; 13600; FALSE; lemon; 1399
E-BIKE Haibike; 30; 26200; FALSE; 24000; red; 1979
E-BIKE SkyBike; 60; 20700; FALSE; 15000; violet; 2119
E-BIKE SkyBike; 40; 27400; FALSE; 8000; orange; 1699
FOLDING BIKE FOLDING BIKE Crosser; 20; 18; 14000; FALSE; violet; 369
E-BIKE Xiaomi; 55; 23600; FALSE; 8000; black; 2555
FOLDING BIKE FOLDING BIKE West Bike; 18; 27; 11700; FALSE; emerald; 1439
SPEEDELEC Smart; 55; 9400; FALSE; 12700; white; 535
E-BIKE Gazelle; 60; 20600; FALSE; 11000; emerald; 2879
E-BIKE Ferrari; 50; 28500; FALSE; 25000; golden; 1489
SPEEDELEC Xiaomi; 25; 13500; FALSE; 7300; blue; 1569
SPEEDELEC Dualtron; 15; 11800; FALSE; 10500; yellow; 1449
FOLDING BIKE FOLDING BIKE Author; 20; 8; 9300; FALSE; emerald; 1355
E-BIKE Ferrari; 20; 23800; FALSE; 14000; violet; 2479
SPEEDELEC Freego; 65; 18400; FALSE; 5000; yellow; 1309
SPEEDELEC Speedelec Minirider; 15; 10000; FALSE; 15100; orange; 1349
SPEEDELEC Kugoo; 20; 11600; FALSE; 13500; dark gray; 349
E-BIKE GoCycle; 55; 25000; FALSE; 23000; flame; 2189
SPEEDELEC Dualtron; 30; 15500; FALSE; 4900; red; 439
E-BIKE Felt; 30; 25200; FALSE; 10000; dark gray; 2845
E-BIKE Rover; 40; 28100; FALSE; 13000; grenadine; 1649
FOLDING BIKE FOLDING BIKE Polygon; 24; 27; 10600; FALSE; grey; 645
E-BIKE Zaxboard; 55; 22400; FALSE; 27000; blue; 2249
E-BIKE GoCycle; 50; 24400; FALSE; 22000; coral; 2195
E-BIKE Koga; 20; 22900; FALSE; 12000; olive; 2129
E-BIKE Lankeleisi; 50; 22500; FALSE; 13000; golden; 795
FOLDING BIKE FOLDING BIKE Intertool; 20; 1; 14300; FALSE; khaki; 859
SPEEDELEC Xiaomi; 45; 18200; FALSE; 10400; white; 679
SPEEDELEC OIO; 10; 19300; FALSE; 14500; red; 265
FOLDING BIKE FOLDING BIKE Stern; 24; 21; 12800; FALSE; blue; 725
E-BIKE Koga; 65; 20200; FALSE; 19000; grey; 3185
FOLDING BIKE FOLDING BIKE BMW; 20; 9; 14600; FALSE; marine; 1605
SPEEDELEC AirWheel; 15; 9900; FALSE; 14000; olive; 1009
E-BIKE Zaxboard; 55; 20700; FALSE; 27000; marine; 909
E-BIKE Scott; 25; 21300; FALSE; 15000; pink; 3359
SPEEDELEC Booster; 65; 6600; FALSE; 11700; pink; 605
SPEEDELEC Maraton; 55; 17500; FALSE; 2100; dark gray; 765
SPEEDELEC Ultron; 50; 20500; FALSE; 13000; emerald; 549
FOLDING BIKE FOLDING BIKE Titan; 24; 3; 10600; FALSE; grenadine; 1075
SPEEDELEC Booster; 60; 16200; FALSE; 8100; red; 329
E-BIKE GoCycle; 55; 19600; FALSE; 14000; yellow; 1949
SPEEDELEC Speedway; 50; 21200; FALSE; 15900; dark gray; 1159
SPEEDELEC Segway; 50; 12800; FALSE; 4800; green; 1319
E-BIKE Rover; 35; 22400; FALSE; 11000; rose; 2429
FOLDING BIKE FOLDING BIKE Dahon; 24; 9; 10600; FALSE; lemon; 389
SPEEDELEC ITrike; 65; 21800; FALSE; 12900; violet; 1389
FOLDING BIKE FOLDING BIKE Titan; 20; 6; 13100; FALSE; rose; 365
FOLDING BIKE FOLDING BIKE Titan; 24; 3; 13100; FALSE; olive; 875
FOLDING BIKE FOLDING BIKE West Bike; 24; 9; 9600; FALSE; beige; 1315
FOLDING BIKE FOLDING BIKE Author; 20; 21; 14000; FALSE; grenadine; 1075
FOLDING BIKE FOLDING BIKE Stern; 18; 3; 14500; FALSE; rose; 1635
E-BIKE Felt; 60; 21000; FALSE; 26000; dark gray; 2279
E-BIKE Scott; 45; 21800; FALSE; 28000; dark gray; 2039
FOLDING BIKE FOLDING BIKE Crosser; 16; 6; 11700; FALSE; black; 1065
SPEEDELEC Segway; 20; 7600; FALSE; 2200; olive; 669
SPEEDELEC E-Scooter; 65; 19400; FALSE; 3800; grey; 1115
FOLDING BIKE FOLDING BIKE Comanche; 20; 18; 9100; FALSE; violet; 1025
E-BIKE Xiaomi; 30; 22800; FALSE; 25000; coral; 3119
E-BIKE Zaxboard; 20; 27000; FALSE; 23000; yellow; 1309
SPEEDELEC Peugeot; 55; 6800; FALSE; 12900; khaki; 515
FOLDING BIKE FOLDING BIKE Cayman; 24; 7; 15600; FALSE; golden; 999
SPEEDELEC EcoRide; 45; 8400; FALSE; 8300; beige; 1615
FOLDING BIKE FOLDING BIKE Dahon; 14; 7; 13900; FALSE; khaki; 1009
SPEEDELEC Smart; 20; 8700; FALSE; 10500; silver; 1239
SPEEDELEC Speedway; 45; 21300; FALSE; 4400; green; 1279
FOLDING BIKE FOLDING BIKE Flex; 26; 3; 14800; FALSE; golden; 205
SPEEDELEC Speedelec Minirider; 25; 20400; FALSE; 10900; grenadine; 1465
E-BIKE ION; 25; 19600; FALSE; 8000; green; 2209
E-BIKE Lankeleisi; 60; 19100; FALSE; 28000; flame; 2989
FOLDING BIKE FOLDING BIKE Kross; 20; 7; 15800; FALSE; red; 439
FOLDING BIKE FOLDING BIKE Make Bike; 14; 8; 10000; FALSE; olive; 1149
SPEEDELEC Tesla; 35; 20300; FALSE; 7700; flame; 135
FOLDING BIKE FOLDING BIKE Intertool; 24; 27; 9400; FALSE; violet; 1585
SPEEDELEC ITrike; 10; 20900; FALSE; 5700; golden; 1475
SPEEDELEC AirWheel; 20; 14300; FALSE; 4000; yellow; 1635
E-BIKE Scott; 65; 24400; FALSE; 15000; brown; 1215
E-BIKE Koga; 35; 28100; FALSE; 25000; silver; 2125
SPEEDELEC Booster; 15; 19000; FALSE; 6600; green; 359
E-BIKE ElectrO; 20; 22500; FALSE; 31000; rose; 2029
FOLDING BIKE FOLDING BIKE Comanche; 20; 9; 11100; FALSE; beige; 1639
E-BIKE Mando Footloose; 40; 24200; FALSE; 16000; golden; 2255
SPEEDELEC Booster; 55; 19200; FALSE; 2900; pink; 549
SPEEDELEC OIO; 20; 7600; FALSE; 13500; violet; 849
SPEEDELEC Ultron; 20; 12900; FALSE; 12300; grenadine; 425
SPEEDELEC Xiaomi; 10; 9700; FALSE; 8400; silver; 795
FOLDING BIKE FOLDING BIKE Titan; 24; 9; 15000; FALSE; lemon; 1525
SPEEDELEC Xiaomi; 10; 20800; FALSE; 10400; brown; 505
E-BIKE Zaxboard; 60; 28500; FALSE; 27000; silver; 1319
SPEEDELEC Speedelec Minirider; 35; 9000; FALSE; 4200; black; 1479
E-BIKE Haibike; 55; 27400; FALSE; 12000; rose; 1955
FOLDING BIKE FOLDING BIKE BMW; 20; 27; 13200; FALSE; golden; 1289
E-BIKE Mando Footloose; 35; 24300; FALSE; 26000; yellow; 1369
E-BIKE ElectrO; 60; 25700; FALSE; 19000; blue; 1725
E-BIKE Lankeleisi; 35; 27800; FALSE; 26000; coral; 3175
E-BIKE Felt; 60; 27500; FALSE; 29000; blue; 2825
E-BIKE Mercedes; 25; 19400; FALSE; 23000; blue; 1719
SPEEDELEC AirWheel; 65; 12200; FALSE; 13400; rose; 609
SPEEDELEC Segway; 45; 6800; FALSE; 3700; flame; 259
SPEEDELEC Aest; 35; 18100; FALSE; 5000; violet; 1049
E-BIKE ION; 60; 27200; FALSE; 28000; emerald; 1939
E-BIKE ElectrO; 40; 23600; FALSE; 11000; orange; 2445
SPEEDELEC Speedelec Minirider; 65; 14500; FALSE; 13600; marine; 1279
SPEEDELEC Segway; 45; 20700; FALSE; 10700; yellow; 689
E-BIKE Zaxboard; 35; 24600; FALSE; 17000; khaki; 2015
E-BIKE Gazelle; 65; 25500; FALSE; 28000; emerald; 3049
E-BIKE Farad; 60; 21200; FALSE; 16000; green; 1949
FOLDING BIKE FOLDING BIKE Stern; 20; 8; 15500; FALSE; dark gray; 519
FOLDING BIKE FOLDING BIKE Flex; 24; 21; 9700; FALSE; dark gray; 1539
E-BIKE ElectrO; 65; 27100; FALSE; 15000; green; 2615
E-BIKE Gazelle; 60; 26600; FALSE; 12000; emerald; 2985
SPEEDELEC EcoRide; 30; 19900; FALSE; 2100; olive; 369
SPEEDELEC E-Scooter; 60; 14900; FALSE; 2900; white; 129
E-BIKE Farad; 50; 25900; FALSE; 23000; emerald; 2039
SPEEDELEC ITrike; 55; 14100; FALSE; 14100; marine; 1459
FOLDING BIKE FOLDING BIKE Flex; 26; 3; 13700; FALSE; olive; 1129
FOLDING BIKE FOLDING BIKE VNV; 26; 6; 10800; FALSE; red; 1435
SPEEDELEC Smart; 30; 19300; FALSE; 12700; marine; 1259
SPEEDELEC Ultron; 55; 19600; FALSE; 9900; olive; 1515
FOLDING BIKE FOLDING BIKE Flex; 24; 8; 12600; FALSE; emerald; 825
E-BIKE Scott; 40; 21600; FALSE; 25000; brown; 1049
E-BIKE Koga; 20; 22200; FALSE; 27000; pink; 839
SPEEDELEC Maraton; 45; 9200; FALSE; 7400; marine; 1369
SPEEDELEC AirWheel; 35; 7100; FALSE; 13600; green; 399
FOLDING BIKE FOLDING BIKE Stern; 26; 27; 8200; FALSE; olive; 1325
SPEEDELEC Dualtron; 25; 7000; FALSE; 5100; coral; 1595
SPEEDELEC Peugeot; 15; 11900; FALSE; 11600; rose; 1589
E-BIKE Koga; 60; 20400; FALSE; 28000; white; 2829
SPEEDELEC E-Scooter; 60; 9600; FALSE; 2700; rose; 1415
SPEEDELEC E-Scooter; 40; 19800; FALSE; 3000; grenadine; 709
SPEEDELEC EcoRide; 10; 18400; FALSE; 13200; black; 335
SPEEDELEC Aest; 40; 15100; FALSE; 7700; olive; 159
SPEEDELEC OIO; 10; 12100; FALSE; 9200; blue; 1169
SPEEDELEC Segway; 50; 14300; FALSE; 12700; coral; 609
SPEEDELEC Tesla; 20; 15200; FALSE; 9700; blue; 1015
FOLDING BIKE FOLDING BIKE BMW; 26; 27; 10800; FALSE; grenadine; 745
SPEEDELEC Booster; 30; 18500; FALSE; 12700; coral; 885
FOLDING BIKE FOLDING BIKE Comanche; 20; 21; 11400; FALSE; orange; 985
FOLDING BIKE FOLDING BIKE Titan; 26; 21; 11200; FALSE; blue; 785
SPEEDELEC Aest; 40; 14100; FALSE; 6000; silver; 409
SPEEDELEC Tesla; 35; 16200; FALSE; 6500; coral; 439
FOLDING BIKE FOLDING BIKE Make Bike; 20; 3; 10300; FALSE; silver; 955
SPEEDELEC Xiaomi; 55; 6500; FALSE; 3700; blue; 595
SPEEDELEC Xiaomi; 45; 20900; FALSE; 14900; black; 655
FOLDING BIKE FOLDING BIKE Brompton; 24; 24; 14500; FALSE; dark gray; 1145
E-BIKE Zaxboard; 60; 26300; FALSE; 28000; yellow; 1675
E-BIKE ElectrO; 40; 23400; FALSE; 25000; flame; 1329
SPEEDELEC Peugeot; 45; 17200; FALSE; 9100; white; 1599
SPEEDELEC Peugeot; 40; 14800; FALSE; 13200; rose; 339
E-BIKE Felt; 65; 22000; FALSE; 11000; rose; 1235
FOLDING BIKE FOLDING BIKE Crosser; 24; 1; 16100; FALSE; orange; 265
E-BIKE Rover; 60; 27100; FALSE; 20000; beige; 1399
SPEEDELEC Booster; 50; 11900; FALSE; 5700; pink; 1565
SPEEDELEC OIO; 45; 10400; FALSE; 11300; golden; 355
E-BIKE Gazelle; 50; 26900; FALSE; 15000; green; 2359
E-BIKE Ecofect; 25; 23100; FALSE; 31000; marine; 3419
SPEEDELEC Speedelec Minirider; 65; 20000; FALSE; 8100; black; 1409
SPEEDELEC Speedelec Minirider; 55; 12200; FALSE; 12200; rose; 739
SPEEDELEC Peugeot; 60; 19300; FALSE; 11300; beige; 185
E-BIKE Farad; 50; 22400; FALSE; 14000; red; 1539
SPEEDELEC Freego; 65; 18600; FALSE; 14600; white; 209
SPEEDELEC Aest; 50; 15600; FALSE; 7600; yellow; 379
FOLDING BIKE FOLDING BIKE Comanche; 20; 7; 15600; FALSE; pink; 459
E-BIKE Scott; 35; 25300; FALSE; 16000; olive; 3019
E-BIKE Mercedes; 60; 24300; FALSE; 14000; silver; 1505
SPEEDELEC AirWheel; 45; 9200; FALSE; 15100; emerald; 815
FOLDING BIKE FOLDING BIKE VNV; 24; 1; 14400; FALSE; white; 235
SPEEDELEC Speedelec Minirider; 30; 17600; FALSE; 7900; coral; 1195
SPEEDELEC Speedelec Minirider; 65; 12300; FALSE; 6200; dark gray; 1399
E-BIKE Rover; 30; 19000; FALSE; 22000; grey; 3369
SPEEDELEC ITrike; 45; 13000; FALSE; 8100; grenadine; 1185
E-BIKE Farad; 20; 20400; FALSE; 20000; beige; 2509
FOLDING BIKE FOLDING BIKE Trinx; 24; 6; 8200; FALSE; orange; 1559
SPEEDELEC E-Scooter; 50; 12700; FALSE; 4500; black; 299
FOLDING BIKE FOLDING BIKE Dahon; 14; 21; 13500; FALSE; coral; 475
FOLDING BIKE FOLDING BIKE Formula; 20; 24; 16600; FALSE; grenadine; 1585
FOLDING BIKE FOLDING BIKE Dahon; 20; 9; 13900; FALSE; silver; 1685
